,open,high,low,close,volume,value,SMA_20,SMA_20_Slope,SMA_5,SMA_5_Slope,SMA_40,SMA_40_Slope,SMA_60,SMA_60_Slope,SMA_120,SMA_120_Slope,SMA_5_20_Cross,SMA_20_60_Cross,RSI_14,Disparity_20,Disparity_60,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Upper,BB_Lower,BB_Width,Volatility,signal,equity,peak,drawdown,daily_return,year
2020-01-01 09:00:00,8308000.0,8387000.0,8287000.0,8300000.0,1030.45814676,8582255396.02558,,,,,,,,,,,0,0,,,,0.0,0.0,0.0,0,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-02 09:00:00,8300000.0,8310000.0,8026000.0,8037000.0,2054.03956598,16790797168.07339,,,,,,,,,,,0,0,,,,-20980.05698005669,-4196.011396011338,-16784.04558404535,0,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-03 09:00:00,8038000.0,8525000.0,7910000.0,8474000.0,5887.00880804,49021606425.72705,,,,,,,,,,,0,0,,,,-2317.935731040314,-3820.396263017133,1502.4605319768193,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-04 09:00:00,8476000.0,8520000.0,8382000.0,8482000.0,1987.26688134,16789801499.44245,,,,,,,,,,,0,0,,,,12967.976196034811,-462.72177120674405,13430.697967241555,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-05 09:00:00,8483000.0,8645000.0,8436000.0,8454000.0,2807.832172,24039161184.35222,,,8349400.0,,,,,,,,0,0,,,,22562.716581110843,4142.365899256773,18420.35068185407,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-06 09:00:00,8451000.0,8890000.0,8446000.0,8866000.0,5340.14041587,46379071124.21256,,,8462600.0,113200.0,,,,,,,0,0,,,,62688.935212368146,15851.67976187905,46837.255450489094,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-07 09:00:00,8866000.0,9444000.0,8865000.0,9398000.0,8896.19194694,80878156552.8778,,,8734800.0,272200.0,,,,,,,0,0,,,,135851.19841107726,39851.583491718695,95999.61491935857,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-08 09:00:00,9386000.0,9736000.0,9030000.0,9085000.0,13024.51495279,123019277437.88495,,,8857000.0,122200.0,,,,,,,0,0,,,,166655.2371176295,65212.314216900864,101442.92290072863,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-09 09:00:00,9084000.0,9142000.0,8900000.0,8941000.0,5174.23891081,46561753849.07573,,,8948800.0,91800.0,,,,,,,0,0,,,,177403.07100888714,87650.46557529812,89752.60543358902,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-10 09:00:00,8940000.0,9250000.0,8750000.0,9233000.0,6980.82897357,62925329692.41817,,,9104600.0,155800.0,,,,,,,0,0,,,,207095.49846205115,111539.47215264874,95556.02630940241,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-11 09:00:00,9218000.0,9350000.0,9047000.0,9060000.0,4233.99262116,38861047625.40993,,,9143400.0,38800.0,,,,,,,0,0,,,,214198.16386310942,132071.21049474087,82126.95336836856,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-12 09:00:00,9066000.0,9250000.0,9014000.0,9213000.0,2412.74898932,22101988619.26872,,,9106400.0,-37000.0,,,,,,,0,0,,,,229527.0536917094,151562.3791341346,77964.67455757482,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-13 09:00:00,9218000.0,9227000.0,9101000.0,9172000.0,1991.09310408,18249005011.62269,,,9123800.0,17400.0,,,,,,,0,0,,,,235650.5194697678,168380.00720126124,67270.51226850657,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-14 09:00:00,9179000.0,9859000.0,9162000.0,9716000.0,11554.39037004,110231380420.97162,,,9278800.0,155000.0,,,,,,,0,0,71.19760479041916,,,281158.6420084778,190935.73416270455,90222.90784577327,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-15 09:00:00,9716000.0,9917000.0,9498000.0,9735000.0,8125.75207139,79085766458.35992,,,9379200.0,100400.0,,,,,,,0,0,71.36052396546592,,,315124.73639625683,215773.53460941504,99351.20178684179,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-16 09:00:00,9735000.0,9855000.0,9561000.0,9785000.0,4081.48265366,39665434450.60096,,,9524200.0,145000.0,,,,,,,0,0,77.78130959949142,,,342133.78770980425,241045.58522949292,101088.20248031133,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-17 09:00:00,9789000.0,10216000.0,9719000.0,9992000.0,8319.12836052,83412175524.28444,,,9680000.0,155800.0,,,,,,,0,0,76.02880658436214,,,375908.5853177421,268018.1852471428,107890.40007059928,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-18 09:00:00,9997000.0,10167000.0,9900000.0,10085000.0,3865.42130063,38838416041.82468,,,9862600.0,182600.0,,,,,,,0,0,76.70776407864045,,,405505.26623202115,295515.6014441185,109989.66478790267,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-19 09:00:00,10085000.0,10484000.0,9734000.0,9887000.0,8567.01218693,86262593734.9222,,,9896800.0,34200.0,,,,,,,0,0,72.59539577420372,,,408277.53456962295,318067.9880692194,90209.54650040355,1,,,,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-20 09:00:00,9886000.0,9951000.0,9775000.0,9851000.0,3320.61609519,32790031642.56386,9188300.0,,9920000.0,23200.0,,,,,,,1,0,67.62075134168157,7.212433203095241,,402925.0093689449,335039.39232916455,67885.61703978037,1,10420552.554428164,7956047.445571836,0.2682220986315562,,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-21 09:00:00,9856000.0,10014000.0,9800000.0,9958000.0,2842.75512757,28124677203.53503,9271200.0,82900.0,9954600.0,34600.0,,,,,,,1,0,61.81434599156118,7.407886789196652,,402675.3100308776,348566.57586950716,54108.734161370434,1,10474575.358162023,8067824.641837978,0.259594304547852,55.112488598616814,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-22 09:00:00,9960000.0,10091000.0,9845000.0,9922000.0,2972.58459218,29600935084.98802,9365450.0,94250.0,9940600.0,-14000.0,,,,,,,1,0,69.99522216913522,5.942586848469641,,395018.98935255036,357857.0585661158,37161.93078643456,1,10451356.165375259,8279543.834624742,0.23189620688279972,52.31245516374624,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-23 09:00:00,9922000.0,9930000.0,9623000.0,9750000.0,3630.5273721,35440547073.00841,9429250.0,63800.0,9873600.0,-67000.0,,,,,,,1,0,69.07119283356907,3.401649123737307,,370798.0088854581,360445.2486299843,10352.76025547384,1,10442109.396903012,8416390.603096988,0.2148335014774265,49.78333561049932,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-24 09:00:00,9750000.0,9885000.0,9631000.0,9813000.0,2941.43472294,28685136535.53574,9495800.0,66550.0,9858800.0,-14800.0,,,,,,,1,0,65.3276955602537,3.3404241875355423,,352621.47992821597,358880.4948896306,-6259.014961414621,0,10417395.09318869,8574204.90681131,0.19410583482985952,49.7025881032511,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-25 09:00:00,9816000.0,9816000.0,9669000.0,9745000.0,1443.81660204,14030173932.57782,9560350.0,64550.0,9837600.0,-21200.0,,,,,,,1,0,69.16620033575825,1.9314146448613283,,328937.629834326,352891.92187856964,-23954.29204424366,0,10345444.369118165,8775255.630881835,0.1642396709572694,49.8797493043656,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-26 09:00:00,9745000.0,9986000.0,9700000.0,9966000.0,2221.71968044,21899391391.92468,9615350.0,55000.0,9839200.0,1600.0,,,,,,,1,0,70.29649595687331,3.646773128383262,,324262.9594777543,347166.1293984066,-22903.16992065229,0,10348002.362454748,8882697.637545252,0.15239224000265156,46.88904259457388,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-27 09:00:00,9966000.0,10277000.0,9948000.0,10132000.0,4801.26130294,48415199217.52405,9652050.0,36700.0,9881200.0,42000.0,,,,,,,1,0,74.24242424242425,4.972518791344844,,330147.3293182999,343762.3693823853,-13615.040064085391,0,10411890.835133806,8892209.164866194,0.15744651864294235,40.55254620937874,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-28 09:00:00,10128000.0,10601000.0,10127000.0,10570000.0,6620.77416871,68462839033.31838,9726300.0,74250.0,10045200.0,164000.0,,,,,,,1,0,72.78548559231591,8.674418843753534,,365935.3988022804,348196.97526636434,17738.42353591608,1,10541068.44627945,8911531.55372055,0.1675392382055765,40.21404006894666,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-29 09:00:00,10570000.0,10780000.0,10500000.0,10670000.0,5305.29886421,56351664844.84832,9812750.0,86450.0,10216600.0,171400.0,,,,,,,1,0,73.91304347826087,8.736083157117017,,397781.4885825794,358113.8779296074,39667.61065297201,1,10643434.910813136,8982065.089186864,0.16930726061769352,38.78197884450724,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-30 09:00:00,10670000.0,10882000.0,10520000.0,10779000.0,5029.07029051,53656097225.64684,9890050.0,77300.0,10423400.0,206800.0,,,,,,,1,0,74.67725918570011,8.988326651533612,,426894.1630419865,371869.9349520832,55024.22808990331,1,10779248.450409425,9000851.549590575,0.1798167755288245,37.31718742225354,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-01-31 09:00:00,10778000.0,10841000.0,10642000.0,10781000.0,3618.06000067,38857928207.28571,9976100.0,86050.0,10586400.0,163000.0,,,,,,,1,0,71.80762852404644,8.068283196840449,,444997.8918857742,386495.5263388214,58502.36554695282,1,10860159.750302693,9092040.249697307,0.17723554300832847,35.55145207458024,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-01 09:00:00,10781000.0,10918000.0,10770000.0,10820000.0,2886.0973791,31294876435.39403,10056450.0,80350.0,10724000.0,137600.0,,,,,,,1,0,70.94017094017094,7.592639549741708,,457221.63508947194,400640.7480889516,56580.887000520364,1,10940595.850078212,9172304.149921788,0.17583657256352134,35.430111286634954,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-02 09:00:00,10820000.0,10887000.0,10680000.0,10765000.0,3318.26175912,35841614441.05652,10136100.0,79650.0,10763000.0,39000.0,,,,,,,1,0,77.2332506203474,6.20455599293614,,457200.67452155054,411952.7333754714,45247.94114607916,1,10970372.428053644,9301827.571946356,0.16461408787475332,35.47463696911638,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-03 09:00:00,10765000.0,10975000.0,10715000.0,10750000.0,3683.40186368,39872569783.4332,10187800.0,51700.0,10779000.0,16000.0,,,,,,,1,0,78.25267127592709,5.51836510335892,,450777.40713048354,419717.66812647384,31059.739004009694,1,11040409.764503265,9335190.235496735,0.16737858310985,27.182453843979808,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-04 09:00:00,10750000.0,10790000.0,10504000.0,10635000.0,4273.50735062,45509665494.21313,10232800.0,45000.0,10750200.0,-28800.0,,,,,,,1,0,71.16948092557848,3.9304980064107577,,431434.07903627865,422060.95030843484,9373.12872784381,1,11079768.737383652,9385831.262616348,0.1655399768164437,27.994733767796248,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-05 09:00:00,10636000.0,11116000.0,10589000.0,11054000.0,5644.68431028,61300553914.19267,10296250.0,63450.0,10804800.0,54600.0,,,,,,,1,0,78.55701311806256,7.359475537210149,,444786.9236458186,426606.1449759116,18180.778669907013,1,11190767.541236026,9401732.458763974,0.17375598712852275,31.715845164899157,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-06 09:00:00,11068000.0,11410000.0,10905000.0,11264000.0,5742.27238319,64300123937.46006,10359850.0,63600.0,10893600.0,88800.0,,,,,,,1,0,87.47524752475248,8.727442964907793,,466931.8939393796,434671.2947686052,32260.599170774396,1,11340058.415002698,9379641.584997302,0.18923216359362308,31.533896111760317,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-07 09:00:00,11269000.0,11610000.0,11256000.0,11490000.0,4139.85704717,47385485847.47539,10430100.0,70250.0,11038600.0,145000.0,,,,,,,1,0,88.41044434264774,10.161935168406822,,496989.2707341742,447134.88996171905,49854.38077245513,1,11522353.662460279,9337846.337539721,0.20944260600766604,32.071864034930286,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-08 09:00:00,11490000.0,11600000.0,11257000.0,11568000.0,4372.50942089,49928407922.05405,10514150.0,84050.0,11202200.0,163600.0,,,,,,,1,0,91.56406748746011,10.023159266322052,,521097.02439694107,461927.3168487635,59169.70754817757,1,11686229.263531268,9342070.736468732,0.22295273769753476,29.8151474375313,HOLD,1000000.0,1000000.0,0.0,0.0,2020
2020-02-09 09:00:00,11568000.0,11863000.0,11567000.0,11821000.0,4936.95291749,57924089180.77049,10612650.0,98500.0,11439400.0,237200.0,9900475.0,,,,,,1,0,91.68539325842697,11.385940363622659,,554228.7741395999,480387.6083069308,73841.16583266907,1,11877515.339202473,9347784.660797527,0.23836936848053464,29.894104696644035,BUY,1000000.0,1000000.0,0.0,0.0,2020
2020-02-10 09:00:00,11821000.0,11864000.0,11392000.0,11520000.0,5213.48423455,60459892531.15172,10690750.0,78100.0,11532600.0,93200.0,9980975.0,80500.0,,,,,1,0,79.40677966101694,7.756705563220541,,549859.3042896651,494281.9475034777,55577.35678618739,1,11978111.704376332,9403388.295623668,0.24083655578445526,33.350756591696,BUY,974049.5727941799,1000000.0,-2.5950427205820104,-0.02595042720582008,2020
2020-02-11 09:00:00,11520000.0,11950000.0,11269000.0,11819000.0,6034.79122331,69984450456.1307,10785600.0,94850.0,11643600.0,111000.0,10075525.0,94550.0,,,,,1,0,78.11796488068438,9.581293576620679,,564021.579429578,508229.87388869777,55791.70554088027,1,12113377.470258595,9457822.529741405,0.24621300071550872,33.853731808280706,BUY,999330.89417139,1000000.0,-0.0669105828610016,0.025954861111111116,2020
2020-02-12 09:00:00,11820000.0,11956000.0,11761000.0,11793000.0,6619.13819041,78341582233.6628,10887750.0,102150.0,11704200.0,60600.0,10158500.0,82975.0,,,,,1,0,76.15277130880298,8.31439002548736,,566615.7086197697,519907.04083491216,46708.667784857505,1,12194244.84862118,9581255.15137882,0.2399935429489436,32.17333049617924,BUY,997132.5183994586,1000000.0,-0.28674816005413883,-0.0021998477028514207,2020
2020-02-13 09:00:00,11793000.0,12044000.0,11580000.0,11793000.0,9190.66395973,108560211308.22157,10986750.0,99000.0,11749200.0,45000.0,10241275.0,82775.0,,,,,1,0,74.87733071638861,7.3383848726875565,,562190.9869469013,528363.83005731,33827.15688959125,1,12249685.740333024,9723814.259666976,0.22990160699624992,32.415417583424805,BUY,997132.5183994586,1000000.0,-0.28674816005413883,0.0,2020
