Date,Close,Open,High,Low,Volume
2022-01-19,69569.65,69569.65,69569.65,69569.65,0
2022-01-20,70371.41,70371.41,70371.41,70371.41,0
2022-01-21,70144.55,70144.55,70144.55,70144.55,0
2022-01-24,70807.43,70807.43,70807.43,70807.43,0
2022-01-25,70823.0,70823.0,70823.0,70823.0,0
2022-01-26,71100.29,71100.29,71100.29,71100.29,0
2022-01-27,70191.01,70191.01,70191.01,70191.01,0
2022-01-28,69781.21,69781.21,69781.21,69781.21,0
2022-02-03,69898.46,69898.46,69898.46,69898.46,0
2022-02-04,69781.03,69781.03,69781.03,69781.03,0
2022-02-07,69941.61,69941.61,69941.61,69941.61,0
2022-02-08,70090.08,70090.08,70090.08,70090.08,0
2022-02-09,70253.57,70253.57,70253.57,70253.57,0
2022-02-10,70437.58,70437.58,70437.58,70437.58,0
2022-02-11,70260.69,70260.69,70260.69,70260.69,0
2022-02-14,71490.27,71490.27,71490.27,71490.27,0
2022-02-15,71735.52,71735.52,71735.52,71735.52,0
2022-02-16,71429.02,71429.02,71429.02,71429.02,0
2022-02-17,72580.21,72580.21,72580.21,72580.21,0
2022-02-18,72816.13,72816.13,72816.13,72816.13,0
2022-02-21,72643.13,72643.13,72643.13,72643.13,0
2022-02-22,72840.17,72840.17,72840.17,72840.17,0
2022-02-23,72502.72,72502.72,72502.72,72502.72,0
2022-02-24,75282.39,75282.39,75282.39,75282.39,0
2022-02-25,74111.12,74111.12,74111.12,74111.12,0
2022-02-28,73531.44,73531.44,73531.44,73531.44,0
2022-03-02,75355.53,75355.53,75355.53,75355.53,0
2022-03-03,74948.14,74948.14,74948.14,74948.14,0
2022-03-04,75819.94,75819.94,75819.94,75819.94,0
2022-03-07,78790.57,78790.57,78790.57,78790.57,0
2022-03-08,79688.76,79688.76,79688.76,79688.76,0
2022-03-10,78400.04,78400.04,78400.04,78400.04,0
2022-03-11,79130.4,79130.4,79130.4,79130.4,0
2022-03-14,78348.97,78348.97,78348.97,78348.97,0
2022-03-15,77497.96,77497.96,77497.96,77497.96,0
2022-03-16,76137.79,76137.79,76137.79,76137.79,0
2022-03-17,75494.29,75494.29,75494.29,75494.29,0
2022-03-18,75499.61,75499.61,75499.61,75499.61,0
2022-03-21,75162.26,75162.26,75162.26,75162.26,0
2022-03-22,75423.68,75423.68,75423.68,75423.68,0
2022-03-23,75236.69,75236.69,75236.69,75236.69,0
2022-03-24,76423.37,76423.37,76423.37,76423.37,0
2022-03-25,76637.56,76637.56,76637.56,76637.56,0
2022-03-28,75860.47,75860.47,75860.47,75860.47,0
2022-03-29,75066.72,75066.72,75066.72,75066.72,0
2022-03-30,74659.14,74659.14,74659.14,74659.14,0
2022-03-31,75121.82,75121.82,75121.82,75121.82,0
2022-04-01,75599.19,75599.19,75599.19,75599.19,0
2022-04-04,75406.0,75406.0,75406.0,75406.0,0
2022-04-05,75284.48,75284.48,75284.48,75284.48,0
2022-04-06,75343.37,75343.37,75343.37,75343.37,0
2022-04-07,75507.54,75507.54,75507.54,75507.54,0
2022-04-08,76159.39,76159.39,76159.39,76159.39,0
2022-04-11,77551.86,77551.86,77551.86,77551.86,0
2022-04-12,77270.34,77270.34,77270.34,77270.34,0
2022-04-13,77871.56,77871.56,77871.56,77871.56,0
2022-04-14,77787.45,77787.45,77787.45,77787.45,0
2022-04-15,77977.44,77977.44,77977.44,77977.44,0
2022-04-18,79118.18,79118.18,79118.18,79118.18,0
2022-04-19,78731.57,78731.57,78731.57,78731.57,0
2022-04-20,77177.42,77177.42,77177.42,77177.42,0
2022-04-21,77400.45,77400.45,77400.45,77400.45,0
2022-04-22,77785.03,77785.03,77785.03,77785.03,0
2022-04-25,77095.13,77095.13,77095.13,77095.13,0
2022-04-26,76666.94,76666.94,76666.94,76666.94,0
2022-04-27,77034.2,77034.2,77034.2,77034.2,0
2022-04-28,77251.11,77251.11,77251.11,77251.11,0
2022-04-29,77477.73,77477.73,77477.73,77477.73,0
2022-05-02,76614.54,76614.54,76614.54,76614.54,0
2022-05-03,75542.87,75542.87,75542.87,75542.87,0
2022-05-04,76092.04,76092.04,76092.04,76092.04,0
2022-05-06,76850.26,76850.26,76850.26,76850.26,0
2022-05-09,76625.17,76625.17,76625.17,76625.17,0
2022-05-10,76340.26,76340.26,76340.26,76340.26,0
2022-05-11,75846.7,75846.7,75846.7,75846.7,0
2022-05-12,76633.63,76633.63,76633.63,76633.63,0
2022-05-13,75079.62,75079.62,75079.62,75079.62,0
2022-05-16,74274.16,74274.16,74274.16,74274.16,0
2022-05-17,74663.85,74663.85,74663.85,74663.85,0
2022-05-18,74003.78,74003.78,74003.78,74003.78,0
2022-05-19,74947.87,74947.87,74947.87,74947.87,0
2022-05-20,75310.07,75310.07,75310.07,75310.07,0
2022-05-23,75662.31,75662.31,75662.31,75662.31,0
2022-05-24,75533.02,75533.02,75533.02,75533.02,0
