,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIGER나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,22.03.08(화),"₩ 9,455",,,,"₩ 16,800,000",1776,,,1776,,"₩ 16,792,080","₩ 3,207,920","₩ 20,000,000",16.04%,
,,Trading 초기 Setting,,,,,투자기간 (주),207,,22.03.11(금),"₩ 10,075",6.6%,8.74%,,"-₩ 1,101,120",-109,-109,"-₩ 1,098,175",1667,"₩ 17,893,200","₩ 16,795,025","₩ 4,306,095","₩ 21,101,120",20.41%,0.00%
,,,,,,,현 총자산,"₩ 40,337,855",,22.03.18(금),"₩ 10,295",2.2%,7.81%,,"-₩ 366,740",-35,-35,"-₩ 360,325",1632,"₩ 17,161,765","₩ 16,801,440","₩ 4,666,420","₩ 21,467,860",21.74%,0.00%
,,시장 평가기준,초고평가,10.0%,,,총 수익율 (%),101.69%,,22.03.25(금),"₩ 11,605",12.7%,1.89%,,"-₩ 1,425,993",-122,-122,"-₩ 1,415,810",1510,"₩ 18,939,360","₩ 17,523,550","₩ 6,082,230","₩ 23,605,780",25.77%,0.00%
,,,고평가,5.0%,,, CAGR (%),19.27%,,22.04.01(금),"₩ 11,750",1.2%,1.71%,,"-₩ 146,040",-12,-12,"-₩ 141,000",1498,"₩ 17,742,500","₩ 17,601,500","₩ 6,223,230","₩ 23,824,730",26.12%,0.00%
,,,저평가,-6.0%,,,MDD (%),36.81%,,22.04.08(금),"₩ 11,355",-3.4%,3.70%,,"₩ 394,671",34,34,"₩ 386,070",1532,"₩ 17,009,790","₩ 17,395,860","₩ 5,837,160","₩ 23,233,020",25.12%,2.48%
,,,초저평가,-10.0%,,,,,,22.04.15(금),"₩ 10,420",-8.2%,7.59%,,"₩ 955,424",91,91,"₩ 948,220",1623,"₩ 15,963,440","₩ 16,911,660","₩ 4,888,940","₩ 21,800,600",22.43%,8.50%
,,초고평가,매도율,150.0%,,,,,,22.04.22(금),"₩ 10,230",-1.8%,9.76%,,"₩ 205,683",20,20,"₩ 204,600",1643,"₩ 16,603,290","₩ 16,807,890","₩ 4,684,340","₩ 21,492,230",21.80%,9.79%
,,,매수율,33.0%,,,현 계좌 현황,,,22.04.29(금),"₩ 9,995",-2.3%,11.54%,,"₩ 257,532",25,25,"₩ 249,875",1668,"₩ 16,421,785","₩ 16,671,660","₩ 4,434,465","₩ 21,106,125",21.01%,11.41%
,,고평가,매도율,100.0%,,,주식 수,782,,22.05.06(금),"₩ 9,435",-5.6%,15.01%,,"₩ 623,031",66,66,"₩ 622,710",1734,"₩ 15,737,580","₩ 16,360,290","₩ 3,811,755","₩ 20,172,045",18.90%,15.33%
