,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TQQQ주종가,TQ 변동%,QQQ시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,10.03.11(목),0.2740,,,,"$10,000.00",36501,,,36501,,"$9,999.81","$10,000.19","$20,000.00",50.00%,
,,Trading 초기 Setting,,,,,투자기간 (주),834,,10.03.12(금),0.2746,0.2%,4.70%,,-$15.09,-54,-54,-$14.83,36447,"$10,022.44","$10,007.62","$10,015.01","$20,022.63",50.02%,0.00%
,,,,,,,현 총자산,"$1,461,134.05",,10.03.19(금),0.2777,1.1%,3.41%,,-$74.88,-269,-269,-$74.69,36178,"$10,119.87","$10,045.18","$10,089.70","$20,134.89",50.11%,0.00%
,,시장 평가기준,초고평가,10.0%,,,총 수익율 (%),7205.67%,,10.03.26(금),0.2867,3.2%,3.05%,,-$217.42,-758,-758,-$217.30,35420,"$10,371.15","$10,153.85","$10,307.00","$20,460.85",50.37%,0.00%
,,,고평가,5.0%,,, CAGR (%),30.68%,,10.04.01(목),0.2891,0.9%,2.25%,,-$57.88,-200,-200,-$57.82,35220,"$10,240.63","$10,182.81","$10,364.82","$20,547.63",50.44%,0.00%
,,,저평가,-6.0%,,,MDD (%),31.78%,,10.04.09(금),0.3045,5.3%,2.64%,,-$361.54,-1187,-1187,-$361.45,34033,"$10,724.84","$10,363.39","$10,726.28","$21,089.67",50.86%,0.00%
,,,초저평가,-10.0%,,,,,,10.04.16(금),0.3140,3.1%,2.36%,,-$215.20,-685,-685,-$215.08,33348,"$10,686.02","$10,470.94","$10,941.36","$21,412.30",51.10%,0.00%
,,초고평가,매도율,150.0%,,,,,,10.04.23(금),0.3329,6.0%,2.91%,,-$419.95,-1261,-1261,-$419.75,32087,"$11,100.55","$10,680.80","$11,361.11","$22,041.91",51.54%,0.00%
,,,매수율,33.0%,,,현 계좌 현황,,,10.04.30(금),0.3073,-7.7%,-0.34%,,$546.39,1777,1777,$546.14,33864,"$9,861.62","$10,407.76","$10,814.97","$21,222.73",50.96%,3.72%
,,고평가,매도율,100.0%,,,주식 수,7496,,10.05.07(금),0.2399,-21.9%,-7.09%,,"$2,740.55",11423,11423,"$2,740.38",45287,"$8,123.97","$10,864.35","$8,074.59","$18,938.94",42.63%,14.08%
