,,,,,,,,,,,,,,,,
,26.02.25(수),,260,주초,주말,TIGER 미국나스닥100 주종가,지수 추세,시장 평가,,Date,TIGER 미국나스닥100 ,Date,KODEX 미국나스닥100레버리지(합성 H),TIGER 미국나스닥100레버리지(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),TIMEFOLIO 미국나스닥100액티브
,,,,,10.10.18(월),"₩10,220",,,,10.10.18(월),"₩10,220",22.01.03(월),"₩10,055",,,
,휴장일,,,10.10.19(화),10.10.22(금),"₩10,235","₩10,235",0.00%,,10.10.19(화),"₩10,270",22.01.04(화),"₩10,200",,,
,10.12.31(금),,,10.10.25(월),10.10.29(금),"₩10,440","₩10,425",-0.15%,,10.10.20(수),"₩10,205",22.01.05(수),"₩9,800",,,
,11.02.02(수),,,10.11.01(월),10.11.05(금),"₩10,565","₩10,567",0.02%,,10.10.21(목),"₩10,280",22.01.06(목),"₩9,150",,,
,11.02.03(목),,,10.11.08(월),10.11.12(금),"₩10,660","₩10,680",0.19%,,10.10.22(금),"₩10,235",22.01.07(금),"₩9,305",,,
,11.02.04(금),,,10.11.15(월),10.11.19(금),"₩10,520","₩10,654",1.27%,,10.10.25(월),"₩10,290",22.01.10(월),"₩9,140",,,
,11.03.01(화),,,10.11.22(월),10.11.26(금),"₩10,875","₩10,807",-0.63%,,10.10.26(화),"₩10,270",22.01.11(화),"₩9,060",,,
,11.05.05(목),,,10.11.29(월),10.12.03(금),"₩10,840","₩10,882",0.38%,,10.10.27(수),"₩10,460",22.01.12(수),"₩9,405",,,
,11.05.10(화),,,10.12.06(월),10.12.10(금),"₩10,985","₩10,983",-0.02%,,10.10.28(목),"₩10,400",22.01.13(목),"₩9,370",,,
,11.06.06(월),,,10.12.13(월),10.12.17(금),"₩11,135","₩11,103",-0.29%,,10.10.29(금),"₩10,440",22.01.14(금),"₩8,995",,,
,11.08.15(월),,,10.12.20(월),10.12.24(금),"₩11,200","₩11,206",0.05%,,10.11.01(월),"₩10,360",22.01.17(월),"₩9,010",,,
,11.09.12(월),,,10.12.27(월),10.12.30(목),"₩11,055","₩11,226",1.54%,,10.11.02(화),"₩10,330",22.01.18(화),"₩8,905",,,
,11.09.13(화),,,11.01.03(월),11.01.07(금),"₩11,155","₩11,285",1.17%,,10.11.03(수),"₩10,430",22.01.19(수),"₩8,465",,,
,11.09.14(수),,,11.01.10(월),11.01.14(금),"₩11,205","₩11,331",1.13%,,10.11.04(목),"₩10,405",22.01.20(목),"₩8,520",,,
,11.10.03(월),,,11.01.17(월),11.01.21(금),"₩11,165","₩11,355",1.71%,,10.11.05(금),"₩10,565",22.01.21(금),"₩8,075",,,
,11.12.30(금),,,11.01.24(월),11.01.28(금),"₩11,340","₩11,413",0.65%,,10.11.08(월),"₩10,590",22.01.24(월),"₩7,890",,,
,12.01.23(월),,,11.01.31(월),11.02.01(화),"₩11,120","₩11,388",2.41%,,10.11.09(화),"₩10,620",22.01.25(화),"₩7,610",,,
,12.01.24(화),,,11.02.07(월),11.02.11(금),"₩11,610","₩11,515",-0.81%,,10.11.10(수),"₩10,530",22.01.26(수),"₩7,540",,,
,12.03.01(목),,,11.02.14(월),11.02.18(금),"₩11,615","₩11,595",-0.17%,,10.11.11(목),"₩10,485",22.01.27(목),"₩7,200",,,
,12.05.01(화),,,11.02.21(월),11.02.25(금),"₩11,375","₩11,614",2.10%,,10.11.12(금),"₩10,660",22.01.28(금),"₩7,455",,,
,12.05.28(월),,,11.02.28(월),11.03.04(금),"₩11,620","₩11,673",0.46%,,10.11.15(월),"₩10,555",22.02.03(목),"₩8,030",,,
