,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,KODEX나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,22.03.08(화),"₩ 6,325",,,,"₩ 16,800,000",2656,,,2656,,"₩ 16,799,200","₩ 3,200,800","₩ 20,000,000",16.00%,
,,Trading 초기 Setting,,,,,투자기간 (주),207,,22.03.11(금),"₩ 6,745",6.6%,8.74%,,"-₩ 1,115,520",-165,-165,"-₩ 1,112,925",2491,"₩ 17,914,720","₩ 16,801,795","₩ 4,313,725","₩ 21,115,520",20.43%,0.00%
,,,,,,,현 총자산,"₩ 32,615,765",,22.03.18(금),"₩ 7,175",6.4%,7.81%,,"-₩ 1,071,130",-149,-149,"-₩ 1,069,075",2342,"₩ 17,872,925","₩ 16,803,850","₩ 5,382,800","₩ 22,186,650",24.26%,0.00%
,,시장 평가기준,초고평가,10.0%,,,총 수익율 (%),63.08%,,22.03.25(금),"₩ 7,940",10.7%,1.89%,,"-₩ 1,195,017",-150,-150,"-₩ 1,191,000",2192,"₩ 18,595,480","₩ 17,404,480","₩ 6,573,800","₩ 23,978,280",27.42%,0.00%
,,,고평가,5.0%,,, CAGR (%),13.07%,,22.04.01(금),"₩ 8,080",1.8%,1.71%,,"-₩ 204,689",-25,-25,"-₩ 202,000",2167,"₩ 17,711,360","₩ 17,509,360","₩ 6,775,800","₩ 24,285,160",27.90%,0.00%
,,,저평가,-6.0%,,,MDD (%),39.89%,,22.04.08(금),"₩ 7,700",-4.7%,3.70%,,"₩ 549,248",71,71,"₩ 546,700",2238,"₩ 16,685,900","₩ 17,232,600","₩ 6,229,100","₩ 23,461,700",26.55%,3.39%
,,,초저평가,-10.0%,,,,,,22.04.15(금),"₩ 7,025",-8.8%,7.59%,,"₩ 1,007,604",143,143,"₩ 1,004,575",2381,"₩ 15,721,950","₩ 16,726,525","₩ 5,224,525","₩ 21,951,050",23.80%,9.61%
,,초고평가,매도율,150.0%,,,,,,22.04.22(금),"₩ 6,790",-3.3%,9.76%,,"₩ 373,210",54,54,"₩ 366,660",2435,"₩ 16,166,990","₩ 16,533,650","₩ 4,857,865","₩ 21,391,515",22.71%,11.92%
,,,매수율,33.0%,,,현 계좌 현황,,,22.04.29(금),"₩ 6,435",-5.2%,11.54%,,"₩ 576,571",89,89,"₩ 572,715",2524,"₩ 15,669,225","₩ 16,241,940","₩ 4,285,150","₩ 20,527,090",20.88%,15.47%
,,고평가,매도율,100.0%,,,주식 수,1483,,22.05.06(금),"₩ 5,915",-8.1%,15.01%,,"₩ 875,424",148,148,"₩ 875,420",2672,"₩ 14,929,460","₩ 15,804,880","₩ 3,409,730","₩ 19,214,610",17.75%,20.88%
,,,매수율,66.7%,,,보유 현금,"₩ 10,415,255",,22.05.13(금),"₩ 5,215",-11.8%,21.48%,,"₩ 1,247,557",239,239,"₩ 1,246,385",2911,"₩ 13,934,480","₩ 15,180,865","₩ 2,163,345","₩ 17,344,210",12.47%,28.58%
,,저평가,매도율,60.0%,,,,,,22.05.20(금),"₩ 5,095",-2.3%,23.88%,,"₩ 232,996",45,45,"₩ 229,275",2956,"₩ 14,831,545","₩ 15,060,820","₩ 1,934,070","₩ 16,994,890",11.38%,30.02%
,,,매수율,120.0%,,,,,,22.05.27(금),"₩ 5,295",3.9%,23.01%,,"-₩ 591,200",-111,-111,"-₩ 587,745",2845,"₩ 15,652,020","₩ 15,064,275","₩ 2,521,815","₩ 17,586,090",14.34%,27.59%
