,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIMEFOLIO나스닥액티브,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,22.05.20(금),"₩ 9,775",,,,"₩ 16,800,000",1718,,,1718,,"₩ 16,793,450","₩ 3,206,550","₩ 20,000,000",16.03%,
,,Trading 초기 Setting,,,,,투자기간 (주),196,,22.05.27(금),"₩ 9,885",1.1%,23.01%,,"-₩ 188,980",-19,-19,"-₩ 187,815",1699,"₩ 16,982,430","₩ 16,794,615","₩ 3,394,365","₩ 20,188,980",16.81%,0.00%
,,,,,,,현 총자산,"₩ 46,541,860",,22.06.03(금),"₩ 10,245",3.6%,18.47%,,"-₩ 611,640",-59,-59,"-₩ 604,455",1640,"₩ 17,406,255","₩ 16,801,800","₩ 3,998,820","₩ 20,800,620",19.22%,0.00%
,,시장 평가기준,초고평가,10.0%,,,총 수익율 (%),132.71%,,22.06.10(금),"₩ 10,020",-2.2%,21.52%,,"₩ 246,123",24,24,"₩ 240,480",1664,"₩ 16,432,800","₩ 16,673,280","₩ 3,758,340","₩ 20,431,620",18.39%,1.77%
,,,고평가,5.0%,,, CAGR (%),25.12%,,22.06.17(금),"₩ 9,190",-8.3%,31.82%,,"₩ 921,207",100,100,"₩ 919,000",1764,"₩ 15,292,160","₩ 16,211,160","₩ 2,839,340","₩ 19,050,500",14.90%,8.41%
,,,저평가,-6.0%,,,MDD (%),18.78%,,22.06.24(금),"₩ 9,625",4.7%,24.28%,,"-₩ 767,340",-79,-79,"-₩ 760,375",1685,"₩ 16,978,500","₩ 16,218,125","₩ 3,599,715","₩ 19,817,840",18.16%,4.72%
,,,초저평가,-10.0%,,,,,,22.07.01(금),"₩ 9,300",-3.4%,28.84%,,"₩ 365,266",39,39,"₩ 362,700",1724,"₩ 15,670,500","₩ 16,033,200","₩ 3,237,015","₩ 19,270,215",16.80%,7.36%
,,초고평가,매도율,150.0%,,,,,,22.07.08(금),"₩ 9,830",5.7%,22.03%,,"-₩ 913,720",-92,-92,"-₩ 904,360",1632,"₩ 16,946,920","₩ 16,042,560","₩ 4,141,375","₩ 20,183,935",20.52%,2.96%
,,,매수율,33.0%,,,현 계좌 현황,,,22.07.15(금),"₩ 9,785",-0.5%,22.36%,,"₩ 48,984",5,5,"₩ 48,925",1637,"₩ 15,969,120","₩ 16,018,045","₩ 4,092,450","₩ 20,110,495",20.35%,3.32%
,,고평가,매도율,100.0%,,,주식 수,845,,22.07.22(금),"₩ 10,320",5.5%,16.86%,,"-₩ 875,795",-84,-84,"-₩ 866,880",1553,"₩ 16,893,840","₩ 16,026,960","₩ 4,959,330","₩ 20,986,290",23.63%,0.00%
,,,매수율,66.7%,,,보유 현금,"₩ 15,086,735",,22.07.29(금),"₩ 10,550",2.2%,15.02%,,"-₩ 357,190",-33,-33,"-₩ 348,150",1520,"₩ 16,384,150","₩ 16,036,000","₩ 5,307,480","₩ 21,343,480",24.87%,0.00%
,,저평가,매도율,60.0%,,,,,,22.08.05(금),"₩ 10,970",4.0%,11.59%,,"-₩ 638,400",-58,-58,"-₩ 636,260",1462,"₩ 16,674,400","₩ 16,038,140","₩ 5,943,740","₩ 21,981,880",27.04%,0.00%
,,,매수율,120.0%,,,,,,22.08.12(금),"₩ 10,955",-0.1%,11.63%,,"₩ 14,627",1,1,"₩ 10,955",1463,"₩ 16,016,210","₩ 16,027,165","₩ 5,932,785","₩ 21,959,950",27.02%,0.10%
,,초저평가,매도율,33.0%,,,주문 Table,,,22.08.19(금),"₩ 11,285",3.0%,9.12%,,"-₩ 482,790",-42,-42,"-₩ 473,970",1421,"₩ 16,509,955","₩ 16,035,985","₩ 6,406,755","₩ 22,442,740",28.55%,0.00%
,,,매수율,200.0%,,,TQQQ 주가,"₩ 37,225",,22.08.26(금),"₩ 11,115",-1.5%,11.79%,,"₩ 161,127",14,14,"₩ 155,610",1435,"₩ 15,794,415","₩ 15,950,025","₩ 6,251,145","₩ 22,201,170",28.16%,1.08%
,,중간평가,매도율,66.7%,,,실매매 주가,"₩ 37,225",,22.09.02(금),"₩ 10,615",-4.5%,16.88%,,"₩ 478,573",45,45,"₩ 477,675",1480,"₩ 15,232,525","₩ 15,710,200","₩ 5,773,470","₩ 21,483,670",26.87%,4.27%
,,,매수율,66.7%,,,매매 주식수,-10,,22.09.08(목),"₩ 10,810",1.8%,15.29%,,"-₩ 288,600",-26,-26,"-₩ 281,060",1454,"₩ 15,998,800","₩ 15,717,740","₩ 6,054,530","₩ 21,772,270",27.81%,2.99%
,,Limit,현금 최소 비율,10.0%,,,Buy or Sell,매도,,22.09.16(금),"₩ 10,485",-3.0%,18.78%,,"₩ 315,191",30,30,"₩ 314,550",1484,"₩ 15,245,190","₩ 15,559,740","₩ 5,739,980","₩ 21,299,720",26.95%,5.09%
,,,주식 최소 비율,10.0%,,,,,,22.09.23(금),"₩ 10,255",-2.2%,21.61%,,"₩ 227,660",22,22,"₩ 225,610",1506,"₩ 15,218,420","₩ 15,444,030","₩ 5,514,370","₩ 20,958,400",26.31%,6.61%
,,,,,,,,,,22.09.30(금),"₩ 10,100",-1.5%,22.85%,,"₩ 155,698",15,15,"₩ 151,500",1521,"₩ 15,210,600","₩ 15,362,100","₩ 5,362,870","₩ 20,724,970",25.88%,7.65%
,,시장 평가단계,3 단계,,,,,,,22.10.07(금),"₩ 10,230",1.3%,22.40%,,"-₩ 197,730",-19,-19,"-₩ 194,370",1502,"₩ 15,559,830","₩ 15,365,460","₩ 5,557,240","₩ 20,922,700",26.56%,6.77%
,,초기 원금,"₩20,000,000",,,,,,,22.10.14(금),"₩ 10,040",-1.9%,24.70%,,"₩ 190,348",18,18,"₩ 180,720",1520,"₩ 15,080,080","₩ 15,260,800","₩ 5,376,520","₩ 20,637,320",26.05%,8.04%
,,초기 예수금%,16%,,,,,,,22.10.21(금),"₩ 10,015",-0.2%,25.27%,,"₩ 25,346",2,2,"₩ 20,030",1522,"₩ 15,222,800","₩ 15,242,830","₩ 5,356,490","₩ 20,599,320",26.00%,8.21%
,,시작일,22.05.20(금),,,,,,,22.10.28(금),"₩ 9,945",-0.7%,25.98%,,"₩ 71,062",7,7,"₩ 69,615",1529,"₩ 15,136,290","₩ 15,205,905","₩ 5,286,875","₩ 20,492,780",25.80%,8.69%
,,투자 종목,TIMEFOLIO나스닥액티브,,,,,,,22.11.04(금),"₩ 9,690",-2.6%,29.51%,,"₩ 260,060",26,26,"₩ 251,940",1555,"₩ 14,816,010","₩ 15,067,950","₩ 5,034,935","₩ 20,102,885",25.05%,10.43%
,,장기추세선,TIGER미국나스닥100,,,,,,,22.11.11(금),"₩ 9,700",0.1%,28.70%,,"-₩ 15,550",-1,-1,"-₩ 9,700",1554,"₩ 15,083,500","₩ 15,073,800","₩ 5,044,635","₩ 20,118,435",25.07%,10.36%
,,추세선기간(주),260,,,,,,,22.11.18(금),"₩ 9,815",1.2%,26.91%,,"-₩ 178,710",-18,-18,"-₩ 176,670",1536,"₩ 15,252,510","₩ 15,075,840","₩ 5,221,305","₩ 20,297,145",25.72%,9.56%
,,,,,,,,,,22.11.25(금),"₩ 9,875",0.6%,26.25%,,"-₩ 92,160",-9,-9,"-₩ 88,875",1527,"₩ 15,168,000","₩ 15,079,125","₩ 5,310,180","₩ 20,389,305",26.04%,9.15%
,,,,,,,,,,22.12.02(금),"₩ 9,765",-1.1%,27.27%,,"₩ 112,036",11,11,"₩ 107,415",1538,"₩ 14,911,155","₩ 15,018,570","₩ 5,202,765","₩ 20,221,335",25.73%,9.90%
,,,,,,,,,,22.12.09(금),"₩ 9,480",-2.9%,30.91%,,"₩ 292,366",30,30,"₩ 284,400",1568,"₩ 14,580,240","₩ 14,864,640","₩ 4,918,365","₩ 19,783,005",24.86%,11.85%
,,,,,,,,,,22.12.16(금),"₩ 9,265",-2.3%,34.03%,,"₩ 224,859",24,24,"₩ 222,360",1592,"₩ 14,527,520","₩ 14,749,880","₩ 4,696,005","₩ 19,445,885",24.15%,13.35%
